"idx","Title of the Solution","Description of the solution","Links to the solution","SDG(s)","Tags for the solution","Type of the Solution","Who lead the solution","Location","Other Notes","Images"
"70","Chinese Siheyuan","Siheyuan is a traditional Chinese architectural style characterized by a courtyard surrounded by buildings on all sides. The open space in the center provides natural ventilation and cooling, and the surrounding buildings provide shade.","https://www.researchgate.net/figure/Siheyuan-patio-showing-vrandahs-8_fig17_269966756","3, 7, 11","Affordable and Clean Energy, Sustainable Cities and Communities, Sustainable Consumption and Production","Passive Cooling System Solution","Community Led","China","","https://acclabplatforms.blob.core.windows.net/pads/media/image86.png,https://acclabplatforms.blob.core.windows.net/pads/media/image87.png"
"71","Brise soleil","A shading system consisting of horizontal or vertical louvers that are placed on the exterior of a building to provide shade","https://www.archdaily.com/797141/10-innovative-shading-systems-that-demonstrate-the-versatility-of-this-ancient-solution","7,11,13","Renewable Energy, Climate Action, Sustainable Cities","Passive Cooling System","Private Sector","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image88.png"
"72","Overhangs","A shading system consisting of an extension of the roof or a horizontal projection placed over windows to provide shade","https://www.energy.gov/energysaver/design/passive-solar-home-design/shading","7,11,13","Renewable Energy, Climate Action, Sustainable Cities","Passive Cooling System","Both Government and Community Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image89.png"
"73","Awnings","A shading system consisting of a fabric or metal projection that extends from the building to provide shade","https://www.energy.gov/energysaver/design/passive-solar-home-design/shading","7, 11, 13","Renewable Energy, Climate Action, Sustainable Cities","Passive Cooling System","Both Government and Community Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image90.png,https://acclabplatforms.blob.core.windows.net/pads/media/image91.png"
"74","External shutters","A shading system consisting of adjustable shutters that are placed on the exterior of a building to provide shade and ventilation","https://www.archdaily.com/797141/10-innovative-shading-systems-that-demonstrate-the-versatility-of-this-ancient-solution","7,11,13","Renewable Energy, Climate Action, Sustainable Cities","Passive Cooling System","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image92.png,https://acclabplatforms.blob.core.windows.net/pads/media/image93.png"
"75","Solar shading","A shading system that uses solar panels to create a shaded area while generating electricity","https://www.archdaily.com/797141/10-innovative-shading-systems-that-demonstrate-the-versatility-of-this-ancient-solution","7,11,13","Renewable Energy, Climate Action, Sustainable Cities","Passive Cooling System","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image94.png"
"76","Vertical green walls","A shading system consisting of a green wall that provides shade and reduces heat absorption by the building","A shading system consisting of a green wall that provides shade and reduces heat absorption by the building","11,13","Sustainable Cities, Climate Action","Passive Cooling System","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image95.png,https://acclabplatforms.blob.core.windows.net/pads/media/image96.png"
"77","GeoThermal Cooling System at the Frick Collection","The Frick Collection in New York City installed a GeoThermal Cooling System system using 60 wells drilled into the bedrock beneath the museum, allowing for efficient cooling without the use of conventional air conditioning systems.","https://www.energy.gov/sites/default/files/2022-05/FRICK%20ZEB%202022%20FINAL%20May%20update_compliant.pdf","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Commercial Cooling System","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image97.png"
"78","Helsinki Energy Cooperative","The Helsinki Energy Cooperative in Finland uses geoThermal Cooling System heat pumps to provide heating and cooling to residential and commercial buildings, reducing greenhouse gas emissions and improving energy efficiency.","https://www.helsinginenergia.fi/en/cooperative/","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Residential and Commercial Cooling System","Private Sector Led","United States","","https://acclabplatforms.blob.core.windows.net/pads/media/image98.png,https://acclabplatforms.blob.core.windows.net/pads/media/image99.png"
"79","Lake Ontario Cooling System","The Lake Ontario Cooling System in Canada uses lake water to cool buildings in downtown Toronto, reducing energy use and greenhouse gas emissions.","https://www.toronto.ca/services-payments/water-environment/how-we-manage-torontos-water/water-systems/cooling-systems/lake-ontario-cooling-system/","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Commercial Cooling System","Local Government","Canada","","https://acclabplatforms.blob.core.windows.net/pads/media/image100.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image101.jpeg,https://acclabplatforms.blob.core.windows.net/pads/media/image102.png"
"80","Barjeel","A traditional Arabic windcatcher that uses a tower with four openings to capture and direct cool air into a building.","https://www.thenationalnews.com/United Arab Emirates/environment/2016/03/23/United Arab Emirates-s-traditional-wind-towers-a-potential-source-of-renewable-energy/","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Community Led","United Arab Emirates","","https://acclabplatforms.blob.core.windows.net/pads/media/image103.png,https://acclabplatforms.blob.core.windows.net/pads/media/image104.jpeg"
"81","Malqaf","A traditional windcatcher used in Iraq that uses a tower with a series of vents to capture and direct cool air into a building.","https://www.jstor.org/stable/43577007","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Community Led","Iraq","","https://acclabplatforms.blob.core.windows.net/pads/media/image105.png,https://acclabplatforms.blob.core.windows.net/pads/media/image106.jpeg"
"82","Shish-Khan","A traditional windcatcher used in Turkmenistan that uses a tower with a series of vents to capture and direct cool air into a building.","https://www.thoughtco.com/the-ancient-science-of-cooling-4052007","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Community Led","Turkmenistan","","https://acclabplatforms.blob.core.windows.net/pads/media/image107.png"
"83","Hauz-e-Shamsi","A traditional windcatcher used in Pakistan that uses a tower with a series of vents to capture and direct cool air into a building.","https://www.dawn.com/news/1361692","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Community Led","Pakistan","","https://acclabplatforms.blob.core.windows.net/pads/media/image108.png"
"84","Breeze Tower","A modern windcatcher design that uses a tower with a series of vents to capture and direct cool air into a building.","https://inhabitat.com/the-breeze-tower-uses-wind-to-naturally-cool-buildings/","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Private Sector Led","Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image109.png"
"85","Air Tree","A modern windcatcher design that uses a tree-like structure with a series of vents to capture and direct cool air into a building.","https://www.designboom.com/technology/stefano-boeri-air-tree-natural-ventilation-08-08-2020/","7,11","Affordable and Clean Energy,Sustainable Cities and Communities","Passive Residential and Commercial Cooling system","Private Sector Led","Italy","","https://acclabplatforms.blob.core.windows.net/pads/media/image110.png"
"86","EarthAir","EarthAir is a Passive Cooling System that uses underground pipes to cool and dehumidify incoming air.","https://earthair.co.United Kingdom/","7,13","Affordable and clean energy, Climate action","Passive Cooling System","Private Sector Led","United Kingdom","","https://acclabplatforms.blob.core.windows.net/pads/media/image111.png"
"87","Subsurface Earth Tubes","Subsurface earth tubes use pipes buried underground to draw in air that has been naturally cooled by the earth, reducing the need for traditional air conditioning systems.","https://www.researchgate.net/publication/268695147_Subsurface_earth_tube_cooling_system_An_innovative_sustainable_approach_to_air_conditioning","7,13","Affordable and clean energy, Climate action","Passive Cooling System","Private Sector Led","Global","","https://acclabplatforms.blob.core.windows.net/pads/media/image112.png"
"88","Windcools","WindCools use underground earth tubes to cool and dehumidify air before it enters a building.","https://www.youtube.com/watch?v=MFKo2RdQLlk","7,13","Affordable and clean energy, Climate action","Passive Cooling System","Private Sector Led","India","","https://acclabplatforms.blob.core.windows.net/pads/media/image113.png"
